S/No,Longitude,Latitude,Y1517,Y1921,Y2325
255,30.06682,-1.81085,0.10817,0.07276,-0.13275
256,30.08271,-1.82516,0.07136,0.06837,-0.35094
257,30.06459,-1.81621,0.11191,0.05664,-0.30255
258,30.05890,-1.81926,0.11607,0.03782,-0.30886
259,30.04859,-1.79344,0.20789,0.04233,0.05482
260,30.09411,-1.81075,0.10701,0.07942,-0.10471
261,30.06979,-1.81699,0.14327,0.04540,-0.46454
262,30.07381,-1.79592,0.16509,0.06586,0.19692
263,30.06855,-1.82347,0.08627,0.09382,-0.31349
264,30.06045,-1.77431,0.27335,0.06652,0.55673
265,30.06564,-1.82303,0.09353,0.04883,-0.45043
266,30.06476,-1.77851,0.21820,0.07459,0.74156
267,30.04874,-1.80577,0.13939,0.03075,0.09947
268,30.08624,-1.81606,0.07549,0.03853,-0.11456
269,30.05359,-1.76851,0.27549,0.02379,0.46021
270,30.08182,-1.82176,0.07473,0.04968,-0.45662
271,30.05849,-1.83294,0.06456,0.01536,-0.53420
272,30.07484,-1.80745,0.14871,0.04121,-0.12900
273,30.06148,-1.79344,0.13053,0.04191,0.28382
274,30.07578,-1.78970,0.19039,0.07081,0.23440
275,30.09420,-1.81541,0.06776,0.04886,-0.04069
276,30.04705,-1.81804,0.12244,0.04208,-0.13756
277,30.08429,-1.80756,0.14284,0.04558,-0.14093
278,30.05412,-1.78734,0.20099,0.06905,0.47633
279,30.04635,-1.81139,0.11470,-0.00708,-0.02246
280,30.05337,-1.84203,-0.02865,0.05516,-0.36219
281,30.06607,-1.80413,0.14176,0.08347,-0.01114
282,30.05325,-1.77773,0.23850,0.04909,0.36625
283,30.07974,-1.79212,0.18663,0.06505,0.23227
284,30.07007,-1.81052,0.09646,0.03555,-0.12219
285,30.07301,-1.82602,0.04399,0.07701,-0.32433
286,30.05589,-1.78929,0.19304,0.07528,0.34863
287,30.09621,-1.81610,0.04531,0.03377,-0.17699
288,30.06486,-1.80738,0.13027,0.07657,-0.05806
289,30.05647,-1.81337,0.13155,0.06402,-0.36103
290,30.06045,-1.77874,0.28596,0.07333,0.62827
291,30.08639,-1.81373,0.12169,0.05595,0.03365
292,30.05784,-1.79873,0.15899,0.04149,0.18863
293,30.06279,-1.78197,0.22517,0.04117,0.69469
294,30.05066,-1.83987,-0.01287,0.07284,-0.56571
295,30.07904,-1.80806,0.18437,0.04148,-0.13514
296,30.07716,-1.81204,0.15845,0.02319,-0.29368
297,30.04971,-1.79561,0.17523,0.04671,0.27116
298,30.04594,-1.78914,0.19028,0.01129,0.07430
299,30.07346,-1.81374,0.10535,0.03530,-0.25638
300,30.07788,-1.80505,0.15648,0.04892,-0.12728
301,30.02270,-1.83471,0.02028,0.01889,-0.35320
302,30.01591,-1.79381,0.25231,0.01174,-0.26135
303,30.02246,-1.82200,0.07016,0.05627,-0.57443
304,30.01361,-1.81074,0.15106,0.04053,-0.26630
305,30.02462,-1.80698,0.11112,0.04685,-0.10285
306,30.03918,-1.82990,0.01979,0.04053,-0.14832
307,30.02944,-1.84108,-0.01534,0.01277,-0.51111
308,30.03899,-1.85294,-0.06395,0.01372,0.24932
309,30.03087,-1.80557,0.13141,0.03791,0.06091
310,30.02264,-1.82881,0.06254,0.03380,-0.73630
311,30.03263,-1.81858,0.10703,0.07811,-0.36255
312,30.03800,-1.78715,0.24351,0.02857,-0.14615
313,30.01978,-1.83663,0.02204,0.04746,-0.57015
314,30.02071,-1.81983,0.08467,0.07881,-0.43461
315,30.04869,-1.78212,0.22998,0.04133,0.40731
316,30.04249,-1.81928,0.10252,0.05586,-0.23689
317,30.03323,-1.85008,-0.05635,0.04116,0.24952
318,30.02593,-1.81417,0.09940,0.08800,-0.48137
319,30.02502,-1.82896,0.05633,0.05266,-0.62582
320,30.04247,-1.83102,0.01279,0.02966,-0.25521
321,30.03826,-1.83688,0.02662,-0.00211,-0.39213
322,30.03835,-1.84005,-0.00652,0.05570,-0.52344
323,30.04132,-1.81207,0.16182,0.04915,-0.20474
324,30.03015,-1.85541,-0.07243,-0.00122,0.35370
325,30.04058,-1.84555,-0.03091,0.02274,-0.87692
326,30.04138,-1.82774,0.05474,0.06981,-0.20722
327,30.03183,-1.84745,-0.04452,0.01190,-0.79784
328,30.03176,-1.82267,0.08670,0.06896,-0.46614
329,30.04735,-1.83944,-0.02682,0.04245,-0.60230
330,30.01411,-1.79206,0.26733,0.01643,-0.32854
331,30.03060,-1.86149,-0.11732,0.03769,0.26139
332,30.01807,-1.83097,0.02835,0.06065,-0.48675
333,30.02510,-1.84971,-0.07845,0.01790,0.29583
334,30.03205,-1.78633,0.21846,0.05196,0.44293
335,30.02534,-1.83987,-0.02440,0.02450,-0.58127
336,30.01724,-1.83258,0.03432,0.02049,-0.72254
337,30.02841,-1.85043,-0.04266,0.05361,0.30330
338,30.02179,-1.81841,0.07735,0.04908,-0.64638
339,30.04524,-1.78061,0.23839,0.04039,0.02313
340,30.03726,-1.85310,-0.08164,0.01327,0.24556
341,30.02493,-1.83753,0.00187,0.01645,-0.34732
342,30.01606,-1.82508,0.06973,0.05915,-0.53462
343,30.02822,-1.85993,-0.15434,0.01651,0.27552
344,30.02188,-1.84446,-0.01283,0.04904,0.38216
345,30.02541,-1.82729,0.06549,0.05317,-0.51652
346,30.02612,-1.78227,0.28356,0.04408,0.24988
347,30.03148,-1.80111,0.17764,0.03788,0.18882
348,30.03419,-1.79348,0.18784,0.01283,-0.02462
349,30.03764,-1.78970,0.23451,0.02206,0.00541
350,30.03902,-1.83427,0.03233,0.01653,-0.35723
351,30.02854,-1.82459,0.06844,0.04048,-0.67462
352,30.01816,-1.81203,0.11006,0.04810,-0.54431
353,30.01580,-1.80286,0.17871,0.03638,-0.22940
354,30.01429,-1.79500,0.23796,-0.00434,-0.13651
355,30.01665,-1.79590,0.24394,0.01611,-0.21526
356,30.05109,-1.84366,0.00110,0.04527,-0.40920
357,30.02284,-1.82740,0.10359,0.05682,-0.66735
358,30.02914,-1.83042,0.06026,0.04636,-0.47511
359,30.04197,-1.84525,-0.05125,0.02546,-0.62249
360,30.04103,-1.80238,0.15786,0.05117,-0.02053
361,30.03682,-1.82289,0.06507,0.07200,-0.36831
362,30.01968,-1.80160,0.18356,0.03606,-0.25989
363,30.01312,-1.81556,0.12142,0.05793,-0.43609
364,30.02929,-1.83701,0.01147,0.02673,-0.73973
365,30.01556,-1.80128,0.19593,0.01851,0.08621
366,30.02913,-1.86118,-0.12956,0.02675,0.30229
367,30.02951,-1.82713,0.05119,0.05425,-0.25838
368,30.03135,-1.82807,0.03807,0.04942,-0.24028
369,30.01851,-1.83558,0.02625,0.05213,-0.71295
370,30.04211,-1.82476,0.08759,0.05774,-0.18995
371,30.03814,-1.80336,0.13771,0.04185,0.12817
372,30.04580,-1.78574,0.20524,0.04191,0.03325
373,30.02813,-1.85715,-0.09275,0.02018,0.32200
374,30.02865,-1.81300,0.13589,0.07989,-0.31431
375,30.02088,-1.83897,0.00886,0.07008,-0.69044
376,30.01847,-1.83801,0.04142,0.02126,-0.77325
377,30.02729,-1.83812,0.01053,-0.00460,-0.49095
378,30.02151,-1.80053,0.18768,-0.01204,0.03353
379,30.03903,-1.84145,-0.02957,0.02506,-0.63389
380,30.03265,-1.80424,0.12554,0.04467,-0.13581
381,30.04051,-1.85331,-0.04856,0.00596,0.23791
382,30.03712,-1.82709,0.06091,0.06221,-0.29362
383,30.01533,-1.78346,0.20810,0.05719,-0.02394
384,30.01880,-1.80893,0.09487,0.03338,-0.29729
385,30.03894,-1.81993,0.10390,0.04778,-0.32558
386,30.04254,-1.78043,0.23748,0.01098,-0.00836
387,30.01790,-1.82471,0.07004,0.07886,-0.59307
388,30.03624,-1.84972,-0.03972,0.01847,0.24706
389,30.01764,-1.82714,0.03402,0.03324,-0.49105
390,30.02654,-1.84358,-0.04131,0.04357,-0.66143
391,30.03112,-1.78868,0.20331,0.03990,-0.02389
392,30.03693,-1.80093,0.13809,0.06154,0.11430
393,30.03241,-1.84595,-0.03846,0.04041,-0.41518
394,30.04151,-1.79827,0.13523,0.03632,0.04688
395,30.04154,-1.79241,0.20380,0.01320,0.09472
